0,1,2,3
Standard,Disclosure Requirement,Location,Comment
E5- Resource Use and Circular Economy,"ESRS 2 IRO-1 – Description of the processes to identify and assess material resource use and circular economy-related impacts, risks and opportunities",47,
,E5-1 – Policies related to resource use and circular economy,75,
,E5-2 – Actions and resources related to resource use and circular economy,75,
,E5-3 – Targets related to resource use and circular economy,75,
,E5-4 – Resource inflows,76,
,E5-5 – Resource outflows-waste,77,
,"E5-6 – Anticipated financial effects from resource use and circular economy-related impacts, risks and opportunities",,Phased in.
S1- Own Workforce,ESRS 2 SBM-2 – Interests and views of stakeholders,44,
,"ESRS 2 SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model",79,
,S1-1 – Policies related to own workforce,78,
,S1-2 – Processes for engaging with own workforce and workers’ representatives about impacts,80,
,S1-3 – Processes to remediate negative impacts and channels for own workforce to raise concerns,81,
,"S1-4 – Taking action on material impacts on own workforce, and approaches to managing material risks and pursuing material opportunities related to",81,
,"own workforce, and effectiveness of those actions",,
,"S1-5 – Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",82,
,S1-6 – Characteristics of the undertaking’s employees,83,
,S1-7 – Characteristics of non-employees in the undertaking’s own workforce,84,
,S1-8 – Collective bargaining coverage and social dialogue,84,
,S1-9 – Diversity metrics,85,
,S1-13 – Training and skills development metrics,85,
,S1-14 – Health and safety metrics,85,
,"S1-17 – Incidents, complaints and severe human rights impacts",85,
S2 – Workers in the value chain,ESRS 2 SBM-2 – Interests and views of stakeholders,44,
,"ESRS 2 SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model",86,
,S2-1 – Policies related to value chain workers,86,
,S2-2 – Processes for engaging with value chain workers about impacts,87,
,S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns,87,
,"S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities",88,
,"related to value chain workers, and effectiveness of those action",,
,"S2-5 – Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",88,
